concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source
internet_access_home,internet,Have Internet access at home,NA,NA,NA,NA,NA,NA,q47,binary_1yes,NA,NA,NA,NA,internet_home,binary_1yes,none,W4 only. Binary 1=yes 2=no,manual
internet_access_mobile,internet,Have Internet access on mobile phone,NA,NA,NA,NA,NA,NA,q48,binary_1yes,NA,NA,NA,NA,internet_mobile,binary_1yes,none,W4 only. Binary 1=yes 2=no with 0=no cell phone,manual
internet_use_frequency,internet,How often use internet,NA,NA,NA,NA,NA,NA,q49,8pt_1high,q49,8pt_1high,q50,8pt_1high,internet_frequency,8pt_1high,none,W4-W6. 8-point scale 1=several hours daily to 8=never. HIGHER=LESS. Consistent directionality across waves,manual
socialmedia_use,internet,Currently use social media networks,NA,NA,NA,NA,NA,NA,q50,binary_1yes,q50,binary_1yes,NA,NA,socialmedia_use,binary_1yes,none,W4-W5. Binary 1=yes 2=no. W6 asks about specific platforms (q51a-q51h) instead,manual
internet_politics_info,internet,How often use internet/social media to find political information,NA,NA,NA,NA,NA,NA,q51,6pt_1high,NA,NA,NA,NA,internet_politics_info,6pt_1high,none,W4 only. 6-point scale 1=everyday to 6=practically never. HIGHER=LESS,manual
internet_politics_express,internet,How often use internet/social media to express political opinion,NA,NA,NA,NA,NA,NA,q52,6pt_1high,q76,binary_done,q73,binary_done,internet_politics_express,mixed,none,Different measurement across waves. W4 (6-point frequency 1=everyday to 6=never). W5-W6 (binary ever done). Not directly comparable - harmonization difficult,manual
socialmedia_opinion_politics,internet,Use social media to express opinion on political issues,NA,NA,NA,NA,NA,NA,NA,NA,q51b,binary_1yes,q52b,freq_6pt,socialmedia_politics_opinion,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Requires careful harmonization,manual
socialmedia_connect_people,internet,Use social media to connect with other people,NA,NA,NA,NA,NA,NA,NA,NA,q51a,binary_1yes,q52a,freq_6pt,socialmedia_connect,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable,manual
socialmedia_share_news,internet,Use social media to share news or information,NA,NA,NA,NA,NA,NA,NA,NA,q51c,binary_1yes,q52c,freq_6pt,socialmedia_share_news,mixed,none,W5-W6 only but different scales. W5 binary usage. W6 frequency scale. Not directly comparable,manual
