concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source
econ_country_current,economic,Rate overall economic condition of country today,q001,5pt_1low,q1,5pt_1low,q1,5pt_1high,q1,5pt_1high,q1,5pt_1high,q1,5pt_1high,econ_country_current,5pt_1high,W3-W6,All waves. W1-W2 (1=very bad to 5=very good) HIGHER=BETTER. W3-W6 (1=very good to 5=very bad) HIGHER=WORSE. Must reverse W3-W6,manual
econ_country_past,economic,Change in country economic condition over last few years,q002,5pt_1low,q2,5pt_1low,q2,5pt_1high,q2,5pt_1high,q2,5pt_1high,q2,5pt_1high,econ_country_past,5pt_1high,W3-W6,All waves. W1-W2 (1=much worse to 5=much better) HIGHER=BETTER. W3-W6 (1=much better to 5=much worse) HIGHER=WORSE. Must reverse W3-W6,manual
econ_country_future,economic,Expected country economic condition few years from now,q003,5pt_1low,q3,5pt_1low,q3,5pt_1high,q3,5pt_1high,q3,5pt_1high,q3,5pt_1high,econ_country_future,5pt_1high,W3-W6,All waves. W1-W2 (1=much worse to 5=much better) HIGHER=BETTER. W3-W6 (1=much better to 5=much worse) HIGHER=WORSE. Must reverse W3-W6,manual
econ_family_current,economic,Rate your family's economic situation today,q004,5pt_1low,q4,5pt_1low,q4,5pt_1high,q4,5pt_1high,q4,5pt_1high,q4,5pt_1high,econ_family_current,5pt_1high,W3-W6,All waves. W1-W2 (1=very bad to 5=very good) HIGHER=BETTER. W3-W6 (1=very good to 5=very bad) HIGHER=WORSE. Must reverse W3-W6,manual
econ_family_past,economic,Change in family economic condition compared to few years ago,q005,5pt_1low,q5,5pt_1low,q5,5pt_1high,q5,5pt_1high,q5,5pt_1high,q5,5pt_1high,econ_family_past,5pt_1high,W3-W6,All waves. W1-W2 (1=much worse to 5=much better) HIGHER=BETTER. W3-W6 (1=much better to 5=much worse) HIGHER=WORSE. Must reverse W3-W6,manual
econ_family_future,economic,Expected family economic situation few years from now,q006,5pt_1low,q6,5pt_1low,q6,5pt_1high,q6,5pt_1high,q6,5pt_1high,q6,5pt_1high,econ_family_future,5pt_1high,W3-W6,All waves. W1-W2 (1=much worse to 5=much better) HIGHER=BETTER. W3-W6 (1=much better to 5=much worse) HIGHER=WORSE. Must reverse W3-W6,manual
