concept,domain,description,w1_var,w1_scale,w2_var,w2_scale,w3_var,w3_scale,w4_var,w4_scale,w5_var,w5_scale,w6_var,w6_scale,harmonized_name,harmonize_to,reverse_waves,notes,source
interest_politics,political_interest,How interested are you in politics,q056,4pt_1low,q49,4pt_1low,q43,4pt_1high,q44,4pt_1high,q46,4pt_1high,q47,4pt_1high,interest_politics,4pt_1high,W1-W2,All waves. W1-W2 (1=not at all to 4=very) HIGHER=MORE. W3-W6 (1=very to 4=not at all) HIGHER=LESS. Must reverse W1-W2,manual
follow_news,political_interest,How often follow news about politics and government,q057,6pt_2low,q50,5pt_1low,q44,5pt_1high,q45,5pt_1high,q47,5pt_1high,q48,5pt_1high,follow_news,5pt_1high,W1-W3,All waves but different scales. W1 (2=practically never to 6=everyday) 6-point. W2 (1=practically never to 5=everyday) 5-point HIGHER=MORE. W3-W6 (1=everyday to 5=practically never) HIGHER=LESS. Must reverse W1-W3,manual
discuss_politics,political_interest,How often discuss political matters with family or friends,q023,5pt_1low,q52,3pt_1low,q46,3pt_1high,q46,3pt_1high,q48,3pt_1high,q49,3pt_1high,discuss_politics,3pt_1high,W1-W2,Most waves. W1 (1=never to 5=very often) 5-point HIGHER=MORE. W2 (1=never to 3=frequently) 3-point HIGHER=MORE. W3-W6 (1=frequently to 3=never) HIGHER=LESS. Must reverse W1-W2. Different scale lengths require careful harmonization,manual
